*165*s*10000 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-05-11 20:34:47 . fee was: 100 rwf. new balance: 28300 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-05-12 03:47:33 . fee was: 20 rwf. new balance: 27280 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1700 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-05-12 19:23:50 . fee was: 100 rwf. new balance: 3080 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to alex doe (250791666666) from 36521838 at 2024-05-12 20:49:30 . fee was: 100 rwf. new balance: 980 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1800 rwf transferred to robert brown (250788999999) from 36521838 at 2024-05-14 09:11:32 . fee was: 100 rwf. new balance: 4080 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2500 rwf transferred to jane smith (250791666666) from 36521838 at 2024-05-14 09:27:40 . fee was: 100 rwf. new balance: 1480 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-05-14 14:01:57 . fee was: 20 rwf. new balance: 960 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1800 rwf transferred to alex doe (250791666666) from 36521838 at 2024-05-14 19:21:16 . fee was: 100 rwf. new balance: 4060 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*700 rwf transferred to jane smith (250790777777) from 36521838 at 2024-05-15 15:23:28 . fee was: 20 rwf. new balance: 2940 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250788999999) from 36521838 at 2024-05-15 18:04:03 . fee was: 100 rwf. new balance: 1340 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2800 rwf transferred to linda green (250788999999) from 36521838 at 2024-05-15 23:59:11 . fee was: 100 rwf. new balance: 7440 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1300 rwf transferred to linda green (250789888888) from 36521838 at 2024-05-16 02:03:20 . fee was: 100 rwf. new balance: 6040 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250790777777) from 36521838 at 2024-05-17 10:35:37 . fee was: 100 rwf. new balance: 2290 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250791666666) from 36521838 at 2024-05-17 18:49:21 . fee was: 100 rwf. new balance: 690 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to robert brown (250791666666) from 36521838 at 2024-05-20 09:32:49 . fee was: 20 rwf. new balance: 4070 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250789888888) from 36521838 at 2024-05-20 17:05:45 . fee was: 100 rwf. new balance: 970 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to jane smith (250788999999) from 36521838 at 2024-05-20 17:45:59 . fee was: 20 rwf. new balance: 4950 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-05-21 14:38:14 . fee was: 100 rwf. new balance: 3350 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1700 rwf transferred to jane smith (250788999999) from 36521838 at 2024-05-21 17:42:48 . fee was: 100 rwf. new balance: 1550 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*5000 rwf transferred to jane smith (250789888888) from 36521838 at 2024-05-21 18:15:41 . fee was: 100 rwf. new balance: 1450 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1800 rwf transferred to jane smith (250791666666) from 36521838 at 2024-05-24 11:43:58 . fee was: 100 rwf. new balance: 4250 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1600 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-05-24 18:18:36 . fee was: 100 rwf. new balance: 50 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250791666666) from 36521838 at 2024-05-26 02:24:44 . fee was: 100 rwf. new balance: 4800 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*25000 rwf transferred to samuel carter (250789888888) from 36521838 at 2024-05-26 14:51:13 . fee was: 250 rwf. new balance: 550 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*10000 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-05-26 16:01:09 . fee was: 100 rwf. new balance: 450 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250789888888) from 36521838 at 2024-05-27 14:45:58 . fee was: 100 rwf. new balance: 2150 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*27000 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-05-28 07:22:45 . fee was: 250 rwf. new balance: 2900 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*10000 rwf transferred to alex doe (250791666666) from 36521838 at 2024-05-29 17:19:05 . fee was: 100 rwf. new balance: 6500 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*6000 rwf transferred to alex doe (250788999999) from 36521838 at 2024-05-29 19:08:37 . fee was: 100 rwf. new balance: 400 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1200 rwf transferred to jane smith (250789888888) from 36521838 at 2024-05-30 17:03:08 . fee was: 100 rwf. new balance: 2300 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to robert brown (250791666666) from 36521838 at 2024-05-30 19:06:00 . fee was: 100 rwf. new balance: 700 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
